n,true_p,false_p,n_nodes,h,seed,method,shd,recall,precision,fdr,fpr
300,0.4,0.2,40,2,8675309,no_constraint,140,0.686,0.3315,0.6685,0.1715
300,0.4,0.0,40,2,3407,with_constraint_adj,168,0.875,0.3057,0.6943,0.2271
300,0.4,0.0,40,2,3407,with_constraint_tc,126,0.775,0.3563,0.6437,0.16
300,0.4,0.0,40,2,3407,no_constraint,140,0.7875,0.3333,0.6667,0.18
300,0.4,0.0,40,2,7331,with_constraint_adj,176,0.9121,0.3294,0.6706,0.2453
300,0.4,0.0,40,2,7331,with_constraint_tc,119,0.6923,0.3938,0.6062,0.1408
300,0.4,0.0,40,2,7331,no_constraint,98,0.7692,0.4636,0.5364,0.1176
300,0.4,0.0,40,2,104729,with_constraint_adj,143,0.8378,0.3196,0.6804,0.187
300,0.4,0.0,40,2,104729,with_constraint_tc,86,0.7568,0.4444,0.5556,0.0992
300,0.4,0.0,40,2,104729,no_constraint,95,0.7568,0.4148,0.5852,0.1119
300,0.4,0.0,40,2,8675309,with_constraint_adj,232,0.8488,0.2475,0.7525,0.3199
300,0.4,0.0,40,2,8675309,with_constraint_tc,147,0.6512,0.32,0.68,0.1715
300,0.4,0.0,40,2,8675309,no_constraint,138,0.686,0.3352,0.6648,0.1686
300,0.6,0.2,40,2,3407,with_constraint_adj,198,0.9125,0.2755,0.7245,0.2743
300,0.6,0.2,40,2,3407,with_constraint_tc,118,0.6875,0.3642,0.6358,0.1371
300,0.6,0.2,40,2,3407,no_constraint,125,0.8125,0.3652,0.6348,0.1614
300,0.6,0.2,40,2,7331,with_constraint_adj,227,0.9011,0.2733,0.7267,0.3164
300,0.6,0.2,40,2,7331,with_constraint_tc,94,0.6923,0.4846,0.5154,0.0972
300,0.6,0.2,40,2,7331,no_constraint,121,0.7143,0.3988,0.6012,0.1422
300,0.6,0.2,40,2,104729,with_constraint_adj,185,0.8784,0.2675,0.7325,0.2521
300,0.6,0.2,40,2,104729,with_constraint_tc,81,0.6486,0.4571,0.5429,0.0807
300,0.6,0.2,40,2,104729,no_constraint,91,0.7703,0.4254,0.5746,0.1091
300,0.6,0.2,40,2,8675309,with_constraint_adj,296,0.8488,0.2017,0.7983,0.4164
300,0.6,0.2,40,2,8675309,with_constraint_tc,146,0.5698,0.3006,0.6994,0.1643
300,0.6,0.2,40,2,8675309,no_constraint,156,0.7093,0.3112,0.6888,0.1945
300,0.6,0.0,40,2,3407,with_constraint_adj,178,0.9625,0.3056,0.6944,0.25
300,0.6,0.0,40,2,3407,with_constraint_tc,126,0.7625,0.3588,0.6412,0.1557
300,0.6,0.0,40,2,3407,no_constraint,135,0.7875,0.3424,0.6576,0.1729
300,0.6,0.0,40,2,7331,with_constraint_adj,215,0.9231,0.2877,0.7123,0.3019
300,0.6,0.0,40,2,7331,with_constraint_tc,109,0.6923,0.42,0.58,0.1263
300,0.6,0.0,40,2,7331,no_constraint,139,0.7253,0.3587,0.6413,0.1713
300,0.6,0.0,40,2,104729,with_constraint_adj,168,0.8649,0.287,0.713,0.2252
300,0.6,0.0,40,2,104729,with_constraint_tc,101,0.7162,0.3897,0.6103,0.1176
300,0.6,0.0,40,2,104729,no_constraint,112,0.7432,0.3618,0.6382,0.1374
300,0.6,0.0,40,2,8675309,with_constraint_adj,256,0.907,0.2378,0.7622,0.3602
300,0.6,0.0,40,2,8675309,with_constraint_tc,145,0.7093,0.3315,0.6685,0.1772
300,0.6,0.0,40,2,8675309,no_constraint,149,0.6744,0.3135,0.6865,0.183
